Source_ID,Source_Name,Status_Code,Status_Description,Type_Code,Type_Desc,Address,City,State_Abbr,Postal_Code,Degree_of_Shortage,Designation_Date,Designation_Last_Update_Date,Designation_Pop,Estimated_Underserved_Pop,Estimated_Served_Pop,Formal_Ratio,Total_FTE_Clinicians,Metropolitan_Indicator_Code,Metropolitan_Indicator_Desc,Provider_Ratio_Goal,Percent_Pop_Below_Poverty,HPSA_Score,HPSA_Shortage,Discipline_Class_Num,Discipline_Class_Desc,Component_Source_ID,Component_Source_Name,Component_Status_Code,Component_Status_Desc,Component_Type_Code,Component_Type_Desc,Component_State_Abbr,Component_Postal_Code,Component_Designation_Date,Component_Designation_Date_String,Component_Designation_Last_Update_Date,Geography_ID,CountyFIPS,County_Name,StateCountyFIPS,State_FIPS,State_Abbr_2,State_Name,Primary_State_Name,Primary_State_FIPS,Primary_HHS_Region_Name,US_Mexico_Border_County,US_Mexico_Border_100km,Data_Warehouse_Record_Create_Date,Data_Warehouse_Record_Create_Date_Text,HPSA_Name,HPSA_Component_Name,Break_in_Designation,Geocoding_Primary_X,Geocoding_Primary_Y,HPSA_Pop_Type_Code,HPSA_Pop_Type_Desc,HPSA_Resident_Civilian_Pop,Common_City_Name_with_State_Abbr,Common_Postal_Code,Common_County_Name,Common_StateCounty_FIPS,Common_State_Abbr,Common_State_Name,Common_State_FIPS,Common_Region_Name,HPSA_Withdrawn_Date,HPSA_Withdrawn_Date_String,Provider_Type,Rural_Status_Code,Rural_Status_Desc,HPSA_Designation_Pop_Type_Desc,BHCMIS_OrgID
640999409I,Wilma P. Mankiller Health Center,D,Designated,IHS,"Indian, Tribal and Urban Indian Organizations",RR 1 BOX East,Stilwell,OK,74960-9801,,10/26/2002,8/1/2012,1,,,,,M,Metropolitan,,,14,0,6,Dental Health,640999409I,Wilma P. Mankiller Health Center,0,Unknown,UNK,Unknown,,,,,,POINT,1,Adair,40001,40,OK,Oklahoma,Oklahoma,40,Region VI,N,N,12/17/2019,12/17/2019,Wilma P. Mankiller Health Center,Wilma P. Mankiller Health Center,N,-94.61412799,35.79441,,,,Stilwell,74960,"Adair County, OK",40001,OK,Oklahoma,40,Region VI,,,,R,Rural,"Indian, Tribal and Urban Indian Organizations",
640999409D,Shawnee Health Center,D,Designated,IHS,"Indian, Tribal and Urban Indian Organizations",2307 Gordon Cooper Dr,Shawnee,OK,74801-9007,,8/2/2011,12/8/2011,1,,,,,M,Metropolitan,,,6,0,6,Dental Health,640999409D,Shawnee Health Center,0,Unknown,UNK,Unknown,,,,,,POINT,125,Pottawatomie,40125,40,OK,Oklahoma,Oklahoma,40,Region VI,N,N,12/17/2019,12/17/2019,Shawnee Health Center,Shawnee Health Center,N,-96.92613002,35.29191891,,,,Shawnee,74801,"Pottawatomie County, OK",40125,OK,Oklahoma,40,Region VI,,,,R,Rural,"Indian, Tribal and Urban Indian Organizations",
6389993830,Spirit Lake Tribe,D,Designated,IHS,"Indian, Tribal and Urban Indian Organizations",74th Ave NE,Fort Totten,ND,58335,,6/10/2015,6/10/2015,,,,,,0,Unknown,,,18,,6,Dental Health,6389993830,Spirit Lake Tribe,0,Unknown,UNK,Unknown,,,,,,POINT,5,Benson,38005,38,ND,North Dakota,North Dakota,38,Region VIII,N,N,12/17/2019,12/17/2019,Spirit Lake Tribe,Spirit Lake Tribe,N,-98.99628749,47.976984,,,,Fort Totten,58335,"Benson County, ND",38005,ND,North Dakota,38,Region VIII,,,,R,Rural,"Indian, Tribal and Urban Indian Organizations",
6389993810,Fort Totten PHS Indian Health Center,D,Designated,IHS,"Indian, Tribal and Urban Indian Organizations",PO BOX 200,Fort Totten,ND,58335-0200,,10/26/2002,10/26/2002,,,,,,N,Non-Metropolitan,,,20,0,6,Dental Health,6389993810,Fort Totten PHS Indian Health Center,0,Unknown,UNK,Unknown,,,,,,POINT,5,Benson,38005,38,ND,North Dakota,North Dakota,38,Region VIII,N,N,12/17/2019,12/17/2019,Fort Totten PHS Indian Health Center,Fort Totten PHS Indian Health Center,N,-98.99549899,47.987907,,,,Fort Totten,58335,"Benson County, ND",38005,ND,North Dakota,38,Region VIII,,,,R,Rural,"Indian, Tribal and Urban Indian Organizations",
6389993809,Fort Berthold PHS Indian Health Center,D,Designated,IHS,"Indian, Tribal and Urban Indian Organizations",1 Minni Tohe Dr,New Town,ND,58763-4400,,10/26/2002,4/4/2013,,,,,,N,Non-Metropolitan,,,19,0,6,Dental Health,6389993809,Fort Berthold PHS Indian Health Center,0,Unknown,UNK,Unknown,,,,,,POINT,53,McKenzie,38053,38,ND,North Dakota,North Dakota,38,Region VIII,N,N,12/17/2019,12/17/2019,Fort Berthold PHS Indian Health Center,Fort Berthold PHS Indian Health Center,N,-102.5771191,47.98165371,,,,New Town,58763,"McKenzie County, ND",38053,ND,North Dakota,38,Region VIII,,,,R,Rural,"Indian, Tribal and Urban Indian Organizations",
635999355M,Pueblo of Laguna of Community Health and Wellness,D,Designated,IHS,"Indian, Tribal and Urban Indian Organizations",10 San Jose,Laguna,NM,87026,,2/7/2013,10/1/2013,1,,,,,M,Metropolitan,,,19,0,6,Dental Health,635999355M,Pueblo of Laguna of Community Health and Wellness,0,Unknown,UNK,Unknown,,,,,,POINT,61,Valencia,35061,35,NM,New Mexico,New Mexico,35,Region VI,N,N,12/17/2019,12/17/2019,Pueblo of Laguna of Community Health and Wellness,Pueblo of Laguna of Community Health and Wellness,N,-107.162209,34.95171574,,,,Laguna,87026,"Valencia County, NM",35061,NM,New Mexico,35,Region VI,,,,R,Rural,"Indian, Tribal and Urban Indian Organizations",
6359993536,Sante Fe PHS Indian Hospital,D,Designated,IHS,"Indian, Tribal and Urban Indian Organizations",1700 Cerrillos Rd,Santa Fe,NM,87505-3026,,10/26/2002,12/1/2016,,,,,,N,Non-Metropolitan,,,20,0,6,Dental Health,6359993536,Sante Fe PHS Indian Hospital,0,Unknown,UNK,Unknown,,,,,,POINT,49,Santa Fe,35049,35,NM,New Mexico,New Mexico,35,Region VI,N,N,12/17/2019,12/17/2019,Sante Fe PHS Indian Hospital,Sante Fe PHS Indian Hospital,N,-105.9696766,35.6668103,,,,Santa Fe,87505,"Santa Fe County, NM",35049,NM,New Mexico,35,Region VI,,,,N,Non-Rural,"Indian, Tribal and Urban Indian Organizations",
6329993244,Fort McDermitt Tribal Health Center,D,Designated,IHS,"Indian, Tribal and Urban Indian Organizations",N Reservation Rd,Paradise Valley,NV,89426,,6/24/2010,11/13/2015,1,,,,,M,Metropolitan,,,18,0,6,Dental Health,6329993244,Fort McDermitt Tribal Health Center,0,Unknown,UNK,Unknown,,,,,,POINT,13,Humboldt,32013,32,NV,Nevada,Nevada,32,Region IX,N,N,12/17/2019,12/17/2019,Fort McDermitt Tribal Health Center,Fort McDermitt Tribal Health Center,N,-117.6460742,41.96424806,,,,Paradise Valley,89426,"Humboldt County, NV",32013,NV,Nevada,32,Region IX,,,,R,Rural,"Indian, Tribal and Urban Indian Organizations",
6329993243,Owyhee Community Hospital,D,Designated,IHS,"Indian, Tribal and Urban Indian Organizations",515 Shoshone Cir,Elko,NV,89801-5072,,9/14/2007,1/24/2012,,,,,,N,Non-Metropolitan,,,18,0,6,Dental Health,6329993243,Owyhee Community Hospital,0,Unknown,UNK,Unknown,,,,,,POINT,7,Elko,32007,32,NV,Nevada,Nevada,32,Region IX,N,N,12/17/2019,12/17/2019,Owyhee Community Hospital,Owyhee Community Hospital,N,-115.7649812,40.84751549,,,,Elko,89801,"Elko County, NV",32007,NV,Nevada,32,Region IX,,,,R,Rural,"Indian, Tribal and Urban Indian Organizations",
6329993241,Elko Health Center,D,Designated,IHS,"Indian, Tribal and Urban Indian Organizations",515 Shoshone Cir,Elko,NV,89801-5072,,9/14/2007,5/12/2014,,,,,,N,Non-Metropolitan,,,0,0,6,Dental Health,6329993241,Elko Health Center,0,Unknown,UNK,Unknown,,,,,,POINT,7,Elko,32007,32,NV,Nevada,Nevada,32,Region IX,N,N,12/17/2019,12/17/2019,Elko Health Center,Elko Health Center,N,-115.7649812,40.84751549,,,,Elko,89801,"Elko County, NV",32007,NV,Nevada,32,Region IX,,,,R,Rural,"Indian, Tribal and Urban Indian Organizations",
630999304P,Crow-Lodge Grass Clinic,D,Designated,IHS,"Indian, Tribal and Urban Indian Organizations",Harding Ave,Lodge Grass,MT,59050,,10/26/2002,10/21/2011,1,,,,,M,Metropolitan,,,19,0,6,Dental Health,630999304P,Crow-Lodge Grass Clinic,0,Unknown,UNK,Unknown,,,,,,POINT,3,Big Horn,30003,30,MT,Montana,Montana,30,Region VIII,N,N,12/17/2019,12/17/2019,Crow-Lodge Grass Clinic,Crow-Lodge Grass Clinic,N,-107.3678005,45.31087439,,,,Lodge Grass,59050,"Big Horn County, MT",30003,MT,Montana,30,Region VIII,,,,R,Rural,"Indian, Tribal and Urban Indian Organizations",
630999304J,Fort Belknap PHS Indian Hospital,D,Designated,IHS,"Indian, Tribal and Urban Indian Organizations",456 Gros Ventre Ave,Harlem,MT,59526-8044,,10/26/2002,10/11/2012,1,,,,,M,Metropolitan,,,18,0,6,Dental Health,630999304J,Fort Belknap PHS Indian Hospital,0,Unknown,UNK,Unknown,,,,,,POINT,5,Blaine,30005,30,MT,Montana,Montana,30,Region VIII,N,N,12/17/2019,12/17/2019,Fort Belknap PHS Indian Hospital,Fort Belknap PHS Indian Hospital,N,-108.7668282,48.4851231,,,,Harlem,59526,"Blaine County, MT",30005,MT,Montana,30,Region VIII,,,,R,Rural,"Indian, Tribal and Urban Indian Organizations",
6309993023,Crow Agency PHS Indian Hospital,D,Designated,IHS,"Indian, Tribal and Urban Indian Organizations",100 Hospital Loop,Crow Agency,MT,59022,,10/26/2002,10/21/2011,,,,,,N,Non-Metropolitan,,,22,0,6,Dental Health,6309993023,Crow Agency PHS Indian Hospital,0,Unknown,UNK,Unknown,,,,,,POINT,3,Big Horn,30003,30,MT,Montana,Montana,30,Region VIII,N,N,12/17/2019,12/17/2019,Crow Agency PHS Indian Hospital,Crow Agency PHS Indian Hospital,N,-107.4477786,45.57985436,,,,Crow Agency,59022,"Big Horn County, MT",30003,MT,Montana,30,Region VIII,,,,R,Rural,"Indian, Tribal and Urban Indian Organizations",
60499904EW,White Mountain Apache Tribe,D,Designated,IHS,"Indian, Tribal and Urban Indian Organizations",301 W Ponderosa St,Whiteriver,AZ,85941,,6/24/2010,6/24/2010,1,,,,,M,Metropolitan,,,0,0,6,Dental Health,60499904EW,White Mountain Apache Tribe,0,Unknown,UNK,Unknown,,,,,,POINT,17,Navajo,4017,4,AZ,Arizona,Arizona,4,Region IX,N,N,12/17/2019,12/17/2019,White Mountain Apache Tribe,White Mountain Apache Tribe,N,-109.9813189,33.82760499,,,,Whiteriver,85941,"Navajo County, AZ",4017,AZ,Arizona,4,Region IX,,,,R,Rural,"Indian, Tribal and Urban Indian Organizations",
6049990488,San Carlos PHS Indian Hospital,D,Designated,IHS,"Indian, Tribal and Urban Indian Organizations",PO BOX 208,San Carlos,AZ,85550-0208,,10/26/2002,10/26/2002,,,,,,N,Non-Metropolitan,,,21,0,6,Dental Health,6049990488,San Carlos PHS Indian Hospital,0,Unknown,UNK,Unknown,,,,,,POINT,7,Gila,4007,4,AZ,Arizona,Arizona,4,Region IX,N,N,12/17/2019,12/17/2019,San Carlos PHS Indian Hospital,San Carlos PHS Indian Hospital,N,-110.4524,33.35127,,,,San Carlos,85550,"Gila County, AZ",4007,AZ,Arizona,4,Region IX,,,,R,Rural,"Indian, Tribal and Urban Indian Organizations",
6049990492,Fort Yuma PHS Indian Hospital,W,Withdrawn,IHS,"Indian, Tribal and Urban Indian Organizations",PO BOX 1368,Yuma,AZ,85366-2361,,10/26/2002,8/17/2010,,,,,,N,Non-Metropolitan,,,0,0,6,Dental Health,6049990492,Fort Yuma PHS Indian Hospital,0,Unknown,UNK,Unknown,,,,,,POINT,27,Yuma,4027,4,AZ,Arizona,Arizona,4,Region IX,Y,Y,12/17/2019,12/17/2019,Fort Yuma PHS Indian Hospital,Fort Yuma PHS Indian Hospital,N,-114.624692,32.686773,,,,Yuma,85366,"Yuma County, AZ",4027,AZ,Arizona,4,Region IX,,,,N,Non-Rural,"Indian, Tribal and Urban Indian Organizations",
6569995619,WIND RVR FAM & COMM HLTH CARE,D,Designated,ITU,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",14 Great Plains Rd,Arapahoe,WY,82510-9144,,10/26/2002,8/18/2019,,,,,,N,Non-Metropolitan,,,19,,6,Dental Health,6569995619,WIND RVR FAM & COMM HLTH CARE,0,Unknown,UNK,Unknown,,,,,,POINT,13,Fremont,56013,56,WY,Wyoming,Wyoming,56,Region VIII,N,N,12/17/2019,12/17/2019,Wind Rvr Fam and Community Health Care,Wind Rvr Fam and Community Health Care,N,-108.4854747,42.98515791,,,,Arapahoe,82510,"Fremont County, WY",56013,WY,Wyoming,56,Region VIII,,,,R,Rural,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",
6565743164,WIND RIVER CARES - ETHETE,D,Designated,ITU,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",510 Ethete Rd,Lander,WY,82520,,8/18/2019,8/18/2019,,,,,,0,Unknown,,,15,,6,Dental Health,6565743164,WIND RIVER CARES - ETHETE,0,Unknown,UNK,Unknown,,,,,,POINT,13,Fremont,56013,56,WY,Wyoming,Wyoming,56,Region VIII,N,N,12/17/2019,12/17/2019,Wind River Cares - Ethete,Wind River Cares - Ethete,N,-108.77589,43.02598451,,,,Lander,82520,"Fremont County, WY",56013,WY,Wyoming,56,Region VIII,,,,R,Rural,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",
6565177533,WIND RIVER CARES - RIVERTON,D,Designated,ITU,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",511 N 12th St E,Riverton,WY,82501-3809,,8/18/2019,8/18/2019,,,,,,0,Unknown,,,15,,6,Dental Health,6565177533,WIND RIVER CARES - RIVERTON,0,Unknown,UNK,Unknown,,,,,,POINT,13,Fremont,56013,56,WY,Wyoming,Wyoming,56,Region VIII,N,N,12/17/2019,12/17/2019,Wind River Cares - Riverton,Wind River Cares - Riverton,N,-108.3756514,43.02900941,,,,Riverton,82501,"Fremont County, WY",56013,WY,Wyoming,56,Region VIII,,,,R,Rural,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",
6564978120,FORT WASHAKIE HEALTH CENTER,D,Designated,ITU,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",29 Black Coal Dr,Fort Washakie,WY,82514,,8/18/2019,9/9/2019,,,,,,0,Unknown,,,20,,6,Dental Health,6564978120,FORT WASHAKIE HEALTH CENTER,0,Unknown,UNK,Unknown,,,,,,POINT,13,Fremont,56013,56,WY,Wyoming,Wyoming,56,Region VIII,N,N,12/17/2019,12/17/2019,Fort Washakie Health Center,Fort Washakie Health Center,N,-108.8818253,43.0053192,,,,Fort Washakie,82514,"Fremont County, WY",56013,WY,Wyoming,56,Region VIII,,,,R,Rural,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",
6559999409,NEKOOSA FIELD HEALTH OFFICE,D,Designated,ITU,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",916 Chak Ha Chee Ln,Nekoosa,WI,54457-9602,,8/18/2019,10/7/2019,,,,,,0,Unknown,,,10,,6,Dental Health,6559999409,NEKOOSA FIELD HEALTH OFFICE,0,Unknown,UNK,Unknown,,,,,,POINT,141,Wood,55141,55,WI,Wisconsin,Wisconsin,55,Region V,N,N,12/17/2019,12/17/2019,Nekoosa Field Health Office,Nekoosa Field Health Office,N,-89.96629317,44.27847903,,,,Nekoosa,54457,"Wood County, WI",55141,WI,Wisconsin,55,Region V,,,,R,Rural,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",
65599955SA,IGNACE HEALTH CENTER,D,Designated,ITU,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",930 W Historic Mitchell St,Milwaukee,WI,53204-3533,,10/26/2002,10/7/2019,,,,,,M,Metropolitan,,,20,,6,Dental Health,65599955SA,IGNACE HEALTH CENTER,0,Unknown,UNK,Unknown,,,,,,POINT,79,Milwaukee,55079,55,WI,Wisconsin,Wisconsin,55,Region V,N,N,12/17/2019,12/17/2019,Ignace Health Center,Ignace Health Center,N,-87.92369197,43.01232448,,,,Milwaukee,53204,"Milwaukee County, WI",55079,WI,Wisconsin,55,Region V,,,,N,Non-Rural,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",
6.56E+12,LAC COURTE OREILLES HEALTH CTR,D,Designated,ITU,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",13380 W Trepania Rd,Hayward,WI,54843-2186,,10/26/2002,10/7/2019,,,,,,N,Non-Metropolitan,,,22,,6,Dental Health,6.56E+12,LAC COURTE OREILLES HEALTH CTR,0,Unknown,UNK,Unknown,,,,,,POINT,113,Sawyer,55113,55,WI,Wisconsin,Wisconsin,55,Region V,N,N,12/17/2019,12/17/2019,Lac Courte Oreilles Health Center,Lac Courte Oreilles Health Center,N,-91.36003241,45.94181052,,,,Hayward,54843,"Sawyer County, WI",55113,WI,Wisconsin,55,Region V,,,,R,Rural,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",
65599955B3,ST CROIX HEALTH CENTER,D,Designated,ITU,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",4404 State Road 70,Webster,WI,54893-9251,,10/26/2002,10/7/2019,,,,,,N,Non-Metropolitan,,,18,,6,Dental Health,65599955B3,ST CROIX HEALTH CENTER,0,Unknown,UNK,Unknown,,,,,,POINT,13,Burnett,55013,55,WI,Wisconsin,Wisconsin,55,Region V,N,N,12/17/2019,12/17/2019,St Croix Health Center,St Croix Health Center,N,-92.20687191,45.8088265,,,,Webster,54893,"Burnett County, WI",55013,WI,Wisconsin,55,Region V,,,,R,Rural,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",
65599955B2,ONEIDA HEALTH CENTER,D,Designated,ITU,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",525 Airport Dr,Oneida,WI,54155-9035,,10/26/2002,10/7/2019,,,,,,N,Non-Metropolitan,,,22,,6,Dental Health,65599955B2,ONEIDA HEALTH CENTER,0,Unknown,UNK,Unknown,,,,,,POINT,9,Brown,55009,55,WI,Wisconsin,Wisconsin,55,Region V,N,N,12/17/2019,12/17/2019,Oneida Health Center,Oneida Health Center,N,-88.16754879,44.49852254,,,,Oneida,54155,"Brown County, WI",55009,WI,Wisconsin,55,Region V,,,,N,Non-Rural,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",
65599955B1,BAD RIVER HEALTH SERVICES,D,Designated,ITU,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",53585 Nokomis Rd,Ashland,WI,54806-4272,,10/26/2002,10/7/2019,,,,,,N,Non-Metropolitan,,,19,,6,Dental Health,65599955B1,BAD RIVER HEALTH SERVICES,0,Unknown,UNK,Unknown,,,,,,POINT,3,Ashland,55003,55,WI,Wisconsin,Wisconsin,55,Region V,N,N,12/17/2019,12/17/2019,Bad River Health Services,Bad River Health Services,N,-90.64520732,46.59392299,,,,Ashland,54806,"Ashland County, WI",55003,WI,Wisconsin,55,Region V,,,,R,Rural,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",
